race,zip1,act,legacy,n_applicants,n_admits
Asian,0,32,FALSE,1109,56
Asian,0,33,FALSE,1988,146
Asian,0,34,FALSE,3050,353
Asian,0,35,FALSE,4037,948
Asian,0,36,FALSE,2538,1027
Asian,1,32,FALSE,1596,104
Asian,1,33,FALSE,2363,265
Asian,1,34,FALSE,3126,487
Asian,1,35,FALSE,3204,985
Asian,1,36,FALSE,1569,733
Asian,2,32,FALSE,628,19
Asian,2,33,FALSE,1067,44
Asian,2,34,FALSE,1513,154
Asian,2,35,FALSE,1996,432
Asian,2,36,FALSE,1103,358
Asian,3,32,FALSE,432,9
Asian,3,33,FALSE,754,41
Asian,3,34,FALSE,1147,95
Asian,3,35,FALSE,1347,227
Asian,3,36,FALSE,887,297
Asian,4,32,FALSE,269,10
Asian,4,33,FALSE,434,23
Asian,4,34,FALSE,730,72
Asian,4,35,FALSE,915,172
Asian,4,36,FALSE,604,162
Asian,5,32,FALSE,143,7
Asian,5,33,FALSE,193,15
Asian,5,34,FALSE,288,30
Asian,5,35,FALSE,375,73
Asian,5,36,FALSE,233,85
Asian,6,32,FALSE,412,10
Asian,6,33,FALSE,616,33
Asian,6,34,FALSE,876,77
Asian,6,35,FALSE,1125,162
Asian,6,36,FALSE,739,231
Asian,7,32,FALSE,321,9
Asian,7,33,FALSE,604,27
Asian,7,34,FALSE,987,80
Asian,7,35,FALSE,1529,213
Asian,7,36,FALSE,1040,250
Asian,8,32,FALSE,222,10
Asian,8,33,FALSE,327,21
Asian,8,34,FALSE,512,58
Asian,8,35,FALSE,553,128
Asian,8,36,FALSE,344,122
Asian,9,32,FALSE,2100,70
Asian,9,33,FALSE,3473,163
Asian,9,34,FALSE,5348,379
Asian,9,35,FALSE,6692,877
Asian,9,36,FALSE,3523,771
White,0,32,FALSE,3321,199
White,0,33,FALSE,4652,409
White,0,34,FALSE,5201,746
White,0,35,FALSE,4380,1058
White,0,36,FALSE,1600,609
White,1,32,FALSE,3236,286
White,1,33,FALSE,4455,516
White,1,34,FALSE,5023,1002
White,1,35,FALSE,4093,1198
White,1,36,FALSE,1374,555
White,2,32,FALSE,1618,77
White,2,33,FALSE,2408,159
White,2,34,FALSE,2770,285
White,2,35,FALSE,2298,461
White,2,36,FALSE,868,252
White,3,32,FALSE,1148,49
White,3,33,FALSE,1630,111
White,3,34,FALSE,1949,207
White,3,35,FALSE,1717,253
White,3,36,FALSE,708,191
White,4,32,FALSE,1022,37
White,4,33,FALSE,1400,78
White,4,34,FALSE,1521,128
White,4,35,FALSE,1364,185
White,4,36,FALSE,464,78
White,5,32,FALSE,548,22
White,5,33,FALSE,768,59
White,5,34,FALSE,821,55
White,5,35,FALSE,745,111
White,5,36,FALSE,270,64
White,6,32,FALSE,1082,52
White,6,33,FALSE,1606,100
White,6,34,FALSE,1890,193
White,6,35,FALSE,1729,258
White,6,36,FALSE,716,132
White,7,32,FALSE,692,31
White,7,33,FALSE,924,36
White,7,34,FALSE,1263,106
White,7,35,FALSE,1143,148
White,7,36,FALSE,494,105
White,8,32,FALSE,786,36
White,8,33,FALSE,1052,72
White,8,34,FALSE,1148,117
White,8,35,FALSE,995,152
White,8,36,FALSE,334,76
White,9,32,FALSE,2418,107
White,9,33,FALSE,3396,195
White,9,34,FALSE,3969,416
White,9,35,FALSE,3298,530
White,9,36,FALSE,1108,276
Asian,0,32,TRUE,51,12
Asian,0,33,TRUE,86,20
Asian,0,34,TRUE,181,50
Asian,0,35,TRUE,209,104
Asian,0,36,TRUE,86,56
Asian,1,32,TRUE,NA,NA
Asian,1,33,TRUE,73,27
Asian,1,34,TRUE,115,55
Asian,1,35,TRUE,165,85
Asian,1,36,TRUE,90,63
Asian,2,32,TRUE,NA,NA
Asian,2,33,TRUE,NA,NA
Asian,2,34,TRUE,51,8
Asian,2,35,TRUE,97,51
Asian,2,36,TRUE,NA,NA
Asian,3,32,TRUE,NA,NA
Asian,3,33,TRUE,NA,NA
Asian,3,34,TRUE,NA,NA
Asian,3,35,TRUE,NA,NA
Asian,3,36,TRUE,NA,NA
Asian,4,32,TRUE,NA,NA
Asian,4,33,TRUE,NA,NA
Asian,4,34,TRUE,NA,NA
Asian,4,35,TRUE,NA,NA
Asian,4,36,TRUE,NA,NA
Asian,5,32,TRUE,NA,NA
Asian,5,33,TRUE,NA,NA
Asian,5,34,TRUE,NA,NA
Asian,5,35,TRUE,NA,NA
Asian,5,36,TRUE,NA,NA
Asian,6,32,TRUE,NA,NA
Asian,6,33,TRUE,NA,NA
Asian,6,34,TRUE,NA,NA
Asian,6,35,TRUE,NA,NA
Asian,6,36,TRUE,NA,NA
Asian,7,32,TRUE,NA,NA
Asian,7,33,TRUE,NA,NA
Asian,7,34,TRUE,NA,NA
Asian,7,35,TRUE,NA,NA
Asian,7,36,TRUE,NA,NA
Asian,8,32,TRUE,NA,NA
Asian,8,33,TRUE,NA,NA
Asian,8,34,TRUE,NA,NA
Asian,8,35,TRUE,NA,NA
Asian,8,36,TRUE,NA,NA
Asian,9,32,TRUE,68,4
Asian,9,33,TRUE,126,25
Asian,9,34,TRUE,205,56
Asian,9,35,TRUE,255,83
Asian,9,36,TRUE,132,59
White,0,32,TRUE,411,102
White,0,33,TRUE,705,166
White,0,34,TRUE,942,357
White,0,35,TRUE,980,449
White,0,36,TRUE,451,306
White,1,32,TRUE,285,77
White,1,33,TRUE,622,214
White,1,34,TRUE,849,373
White,1,35,TRUE,898,538
White,1,36,TRUE,404,295
White,2,32,TRUE,155,21
White,2,33,TRUE,252,33
White,2,34,TRUE,385,119
White,2,35,TRUE,410,177
White,2,36,TRUE,184,108
White,3,32,TRUE,59,14
White,3,33,TRUE,103,23
White,3,34,TRUE,157,47
White,3,35,TRUE,151,74
White,3,36,TRUE,78,45
White,4,32,TRUE,NA,NA
White,4,33,TRUE,77,13
White,4,34,TRUE,82,29
White,4,35,TRUE,81,32
White,4,36,TRUE,NA,NA
White,5,32,TRUE,NA,NA
White,5,33,TRUE,NA,NA
White,5,34,TRUE,54,16
White,5,35,TRUE,65,31
White,5,36,TRUE,NA,NA
White,6,32,TRUE,65,17
White,6,33,TRUE,95,19
White,6,34,TRUE,156,52
White,6,35,TRUE,135,43
White,6,36,TRUE,75,42
White,7,32,TRUE,NA,NA
White,7,33,TRUE,NA,NA
White,7,34,TRUE,78,21
White,7,35,TRUE,85,35
White,7,36,TRUE,54,31
White,8,32,TRUE,59,8
White,8,33,TRUE,83,19
White,8,34,TRUE,101,36
White,8,35,TRUE,91,34
White,8,36,TRUE,53,29
White,9,32,TRUE,285,47
White,9,33,TRUE,431,88
White,9,34,TRUE,583,175
White,9,35,TRUE,584,217
White,9,36,TRUE,243,127